Company Name,NSE,NSE CODE
IDFC Ltd.,IDFC.NS,IDFC
Sonata Software Ltd.,SONATSOFTW.NS,SONATSOFTW
Elgi Equipments Ltd.,ELGIEQUIP.NS,ELGIEQUIP
Ratnamani Metals & Tubes Ltd.,RATNAMANI.NS,RATNAMANI
Westlife Development Ltd.,WESTLIFE.NS,WESTLIFE
Chemplast Sanmar Ltd.,CHEMPLASTS.NS,CHEMPLASTS
Mastek Ltd.,MASTEK.NS,MASTEK
Capri Global Capital Ltd.,CGCL.NS,CGCL
Shyam Metalics And Energy Ltd.,SHYAMMETL.NS,SHYAMMETL
Jubilant Ingrevia Ltd.,JUBLINGREA.NS,JUBLINGREA
RBL Bank Ltd.,RBLBANK.NS,RBLBANK
BSE Ltd.,BSE.NS,BSE
Mahindra CIE Automotive Ltd.,MAHINDCIE.NS,MAHINDCIE
Aster DM Healthcare Ltd.,ASTERDM.NS,ASTERDM
Poly Medicure Ltd.,POLYMED.NS,POLYMED
CE Info Systems Ltd.,MAPMYINDIA.NS,MAPMYINDIA
Mahanagar Gas Ltd.,MGL.NS,MGL
eClerx Services Ltd.,ECLERX.NS,ECLERX
PNB Housing Finance Ltd.,PNBHOUSING.NS,PNBHOUSING
Sobha Ltd.,SOBHA.NS,SOBHA
Granules India Ltd.,GRANULES.NS,GRANULES
Procter & Gamble Health Ltd.,PGHL.NS,PGHL
Multi Commodity Exchange Of India Ltd.,MCX.NS,MCX
TCI Express Ltd.,TCIEXP.NS,TCIEXP
NLC India Ltd.,NLCINDIA.NS,NLCINDIA
Jindal Stainless (Hisar) Ltd.,JSLHISAR.NS,JSLHISAR
Suzlon Energy Ltd.,SUZLON.NS,SUZLON
KNR Constructions Ltd.,KNRCON.NS,KNRCON
Finolex Cables Ltd.,FINCABLES.NS,FINCABLES
Graphite India Ltd.,GRAPHITE.NS,GRAPHITE
Orient Electric Ltd.,ORIENTELEC.NS,ORIENTELEC
E.I.D. - Parry (India) Ltd.,EIDPARRY.NS,EIDPARRY
Housing & Urban Development Corporation Ltd.,HUDCO.NS,HUDCO
Forbes & Company Ltd.,FORBESGOK.NS,FORBESGOK
PVR Ltd.,PVR.NS,PVR
NBCC (India) Ltd.,NBCC.NS,NBCC
HLE Glascoat Ltd.,HLEGLAS.NS,HLEGLAS
The Fertilisers And Chemicals Travancore Ltd.,FACT.NS,FACT
Sundaram-Clayton Ltd.,SUNCLAYLTD.NS,SUNCLAYLTD
Borosil Renewables Ltd.,BORORENEW.NS,BORORENEW
Prince Pipes and Fittings Ltd.,PRINCEPIPE.NS,PRINCEPIPE
EIH Ltd.,EIHOTEL.NS,EIHOTEL
TV18 Broadcast Ltd.,TV18BRDCST.NS,TV18BRDCST
VIP Industries Ltd.,VIPIND.NS,VIPIND
Sapphire Foods India Ltd.,SAPPHIRE.NS,SAPPHIRE
Aegis Logistics Ltd.,AEGISCHEM.NS,AEGISCHEM
Mangalore Refinery And Petrochemicals Ltd.,MRPL.NS,MRPL
Astrazeneca Pharma India Ltd.,ASTRAZEN.NS,ASTRAZEN
Avanti Feeds Ltd.,AVANTIFEED.NS,AVANTIFEED
Can Fin Homes Ltd.,CANFINHOME.NS,CANFINHOME
Nazara Technologies Ltd.,NAZARA.NS,NAZARA
Bombay Burmah Trading Corporation Ltd.,BBTC.NS,BBTC
IRB Infrastructure Developers Ltd.,IRB.NS,IRB
Glenmark Life Sciences Ltd.,GLS.NS,GLS
Indiabulls Real Estate Ltd.,IBREALEST.NS,IBREALEST
Sunteck Realty Ltd.,SUNTECK.NS,SUNTECK
Delta Corp Ltd.,DELTACORP.NS,DELTACORP
V-Mart Retail Ltd.,VMART.NS,VMART
Rail Vikas Nigam Ltd.,RVNL.NS,RVNL
Bharat Dynamics Ltd.,BDL.NS,BDL
GMM Pfaudler Ltd.,GMMPFAUDLR.NS,GMMPFAUDLR
MTAR Technologies Ltd.,MTARTECH.NS,MTARTECH
Balrampur Chini Mills Ltd.,BALRAMCHIN.NS,BALRAMCHIN
Home First Finance Company India Ltd.,HOMEFIRST.NS,HOMEFIRST
Kalyan Jewellers India Ltd.,KALYANKJIL.NS,KALYANKJIL
Privi Speciality Chemicals Ltd.,PRIVISCL.NS,PRIVISCL
Rain Industries Ltd.,RAIN.NS,RAIN
Dilip Buildcon Ltd.,DBL.NS,DBL
Symphony Ltd.,SYMPHONY.NS,SYMPHONY
JM Financial Ltd.,JMFINANCIL.NS,JMFINANCIL
Tata Investment Corporation Ltd.,TATAINVEST.NS,TATAINVEST
Rossari Biotech Ltd.,ROSSARI.NS,ROSSARI
Hinduja Global Solutions Ltd.,HGS.NS,HGS
MMTC Ltd.,MMTC.NS,MMTC
Just Dial Ltd.,JUSTDIAL.NS,JUSTDIAL
Edelweiss Financial Services Ltd.,EDELWEISS.NS,EDELWEISS
PNC Infratech Ltd.,PNCINFRA.NS,PNCINFRA
Kama Holdings Ltd.,.NS,
Sun Pharma Advanced Research Company Ltd.,SPARC.NS,SPARC
BEML Ltd.,BEML.NS,BEML
Equitas Small Finance Bank Ltd.,EQUITASBNK.NS,EQUITASBNK
Gujarat Narmada Valley Fertilizers & Chemicals Ltd.,GNFC.NS,GNFC
JK Lakshmi Cement Ltd.,JKLAKSHMI.NS,JKLAKSHMI
Prism Johnson Ltd.,PRSMJOHNSN.NS,PRSMJOHNSN
RattanIndia Enterprises Ltd.,RTNINDIA.NS,RTNINDIA
Garware Technical Fibres Ltd.,GARFIBRES.NS,GARFIBRES
SIS Ltd.,SIS.NS,SIS
TeamLease Services Ltd.,TEAMLEASE.NS,TEAMLEASE
Shree Renuka Sugars Ltd.,RENUKA.NS,RENUKA
Olectra Greentech Ltd.,OLECTRA.NS,OLECTRA
Hikal Ltd.,HIKAL.NS,HIKAL
Supreme Petrochem Ltd.,SUPPETRO.NS,SUPPETRO
NIIT Ltd.,NIITLTD.NS,NIITLTD
EPL Ltd.,EPL.NS,EPL
Shipping Corporation Of India Ltd.,SCI.NS,SCI
Cera Sanitaryware Ltd.,CERA.NS,CERA
Caplin Point Laboratories Ltd.,CAPLIPOINT.NS,CAPLIPOINT
Rites Ltd.,RITES.NS,RITES
HEG Ltd.,HEG.NS,HEG
Sterling and Wilson Renewable Energy Ltd.,SWSOLAR.NS,SWSOLAR
